"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.881762250E0;1.854643250E-1;1.867217102E0;9.674082642E0;9.854378300E0
1.891819250E0;1.841171265E-1;1.856140137E0;9.785600739E0;9.961783833E0
1.901876875E0;2.453398132E-1;1.882335663E0;9.782307587E0;9.964784036E0
1.911933875E0;3.339555359E-1;1.919159088E0;9.664951630E0;9.859309708E0
1.921990875E0;3.876937866E-1;1.954785004E0;9.548793182E0;9.754534439E0
1.932047875E0;3.362008667E-1;1.958078156E0;9.467512207E0;9.673721542E0
1.942104875E0;2.562670898E-1;1.945803680E0;9.369166718E0;9.572518465E0
1.952161875E0;1.992356873E-1;1.936672668E0;9.378297729E0;9.578249537E0
1.962218875E0;1.431024170E-1;1.940265198E0;9.454788666E0;9.652882267E0
1.972275875E0;1.429527283E-1;1.955234070E0;9.533225555E0;9.732716231E0
1.982332875E0;2.568658447E-1;1.918710022E0;9.667795715E0;9.859700919E0
1.992389875E0;4.014651489E-1;1.924547882E0;9.806856537E0;1.000197450E1
2.002446875E0;4.101470947E-1;1.906435547E0;9.898765411E0;1.008901748E1
2.012503875E0;4.255650330E-1;2.033371582E0;9.863139496E0;1.007954495E1
2.022560875E0;2.788700867E-1;1.990710297E0;9.815538483E0;1.001925605E1
2.032617875E0;1.535806274E-1;1.900148621E0;9.793983307E0;9.977788372E0
2.042675875E0;1.499880981E-1;1.911375275E0;9.763446808E0;9.949911831E0
2.052732875E0;2.140548706E-1;1.976340179E0;9.697583771E0;9.899235879E0
2.062789875E0;2.968327332E-1;1.988764343E0;9.637408905E0;9.844945083E0
2.072846875E0;3.318598938E-1;1.970951385E0;9.525292053E0;9.732726702E0
2.082903875E0;3.475772095E-1;1.974843292E0;9.499695282E0;9.709017787E0
2.092960875E0;3.118016052E-1;1.971400452E0;9.577533417E0;9.783291181E0
2.103017875E0;2.577639771E-1;1.917811890E0;9.637109528E0;9.829462079E0
2.113074875E0;2.058219910E-1;1.887874146E0;9.786049805E0;9.968610849E0
2.123131875E0;1.579216003E-1;1.838327179E0;9.867031403E0;1.003806230E1
2.133188875E0;1.450483704E-1;1.841770020E0;9.860145721E0;1.003173113E1
2.143245875E0;1.437011719E-1;1.879341888E0;9.759554901E0;9.939893753E0
2.153302875E0;1.466949463E-1;1.898502045E0;9.620943146E0;9.807567305E0
2.163359875E0;1.862127686E-1;1.900148621E0;9.511371002E0;9.701103974E0
2.173416875E0;2.136058044E-1;1.976040802E0;9.461374969E0;9.667883998E0
2.183473875E0;2.739303589E-1;2.044149170E0;9.420360260E0;9.643483349E0
2.193530875E0;3.333567810E-1;2.117945709E0;9.440268860E0;9.680676470E0
2.203587875E0;3.472778320E-1;2.171234894E0;9.445657654E0;9.698211761E0
2.213644875E0;3.523672485E-1;2.196232910E0;9.474248199E0;9.731853915E0
2.223701875E0;3.516188049E-1;2.201621704E0;9.554631042E0;9.811307164E0
2.233758875E0;3.061134338E-1;2.167492676E0;9.672885132E0;9.917481369E0
2.243815875E0;3.037184143E-1;2.184257813E0;9.757159882E0;1.000326927E1
2.253872875E0;4.068539429E-1;2.198478241E0;9.778116302E0;1.003047333E1
2.263929875E0;5.357359314E-1;2.216291199E0;9.794282684E0;1.005618879E1
2.273986875E0;5.565426636E-1;2.233655090E0;9.840686188E0;1.010633759E1
2.284043875E0;5.475613403E-1;2.225871277E0;9.880952454E0;1.014334993E1
2.294100875E0;5.370831299E-1;2.230811005E0;9.918075256E0;1.018003894E1
2.304158875E0;4.646337891E-1;2.234104156E0;9.970316620E0;1.022811417E1
2.314215875E0;3.695814514E-1;2.210752716E0;1.003797592E1;1.028518248E1
2.324272875E0;3.116519165E-1;2.204465790E0;1.003962250E1;1.028352159E1
2.334329875E0;2.905458069E-1;2.225721588E0;9.996512146E0;1.024541402E1
2.344386875E0;2.930905151E-1;2.255659332E0;9.819879456E0;1.007987766E1
2.354443875E0;2.674937439E-1;2.326911163E0;9.656269684E0;9.936277606E0
2.364500875E0;3.067121887E-1;2.404150543E0;9.589209137E0;9.890750430E0
2.374557875E0;4.303550720E-1;2.462229767E0;9.632768555E0;9.951784309E0
2.384614875E0;4.537065125E-1;2.523452454E0;9.688901825E0;1.002239894E1
2.394671875E0;3.860472107E-1;2.515069885E0;9.842183075E0;1.016578461E1
2.404728875E0;2.731819153E-1;2.526296539E0;1.002734802E1;1.034429847E1
2.414785875E0;1.960922241E-1;2.605631561E0;1.020772293E1;1.053685795E1
2.424842875E0;2.257305908E-1;2.739303589E0;1.038255936E1;1.074021775E1
2.434899875E0;3.656895447E-1;2.868784332E0;1.045470932E1;1.084733144E1
2.444956875E0;5.358856201E-1;3.026855621E0;1.036639297E1;1.081254511E1
2.455013875E0;6.378236389E-1;3.156785431E0;1.018377274E1;1.068088669E1
2.465070875E0;7.301815796E-1;3.194956055E0;9.984537048E0;1.050865783E1
2.475127875E0;7.503895569E-1;3.228037262E0;9.933942261E0;1.047217828E1
2.485184875E0;7.071295166E-1;3.283272400E0;1.001342697E1;1.056165846E1
2.495241875E0;7.447013855E-1;3.364553375E0;1.019035904E1;1.075724021E1
2.505298875E0;8.557704163E-1;3.486699371E0;1.040561142E1;1.100755034E1
2.515355875E0;7.958949280E-1;3.432661743E0;1.054093002E1;1.111430705E1
2.525412875E0;7.057823181E-1;3.444337463E0;1.062475571E1;1.119138164E1
2.535469875E0;6.228547668E-1;3.469485168E0;1.064675995E1;1.121511359E1
2.545526875E0;5.182223511E-1;3.444038086E0;1.056547897E1;1.112471567E1
2.555583875E0;4.635859680E-1;3.443439331E0;1.057341248E1;1.112965578E1
2.565640875E0;4.326004028E-1;3.421285400E0;1.063343765E1;1.117865525E1
2.575698875E0;4.161346436E-1;3.352278900E0;1.069989944E1;1.122046300E1
2.585755875E0;4.391867065E-1;3.348536682E0;1.073717194E1;1.125577381E1
2.595812875E0;4.885839844E-1;3.420986023E0;1.079076050E1;1.133059450E1
2.605869875E0;5.281018066E-1;3.460503845E0;1.071756271E1;1.127475627E1
2.615926875E0;6.451583862E-1;3.455713806E0;1.052401520E1;1.109563352E1
2.625983875E0;6.902146912E-1;3.510948944E0;1.043135788E1;1.102798196E1
2.636040875E0;6.471043396E-1;3.535797272E0;1.038705002E1;1.099142459E1
2.646097875E0;5.798941040E-1;3.488046570E0;1.034528687E1;1.093287274E1
2.656154875E0;5.066963196E-1;3.448678436E0;1.027478348E1;1.084994468E1
2.666211875E0;4.026626587E-1;3.371738434E0;1.018736526E1;1.073839692E1
2.676268875E0;3.059637451E-1;3.321443024E0;1.005294479E1;1.059185048E1
2.686325875E0;3.285667419E-1;3.373385010E0;9.848919067E0;1.041579998E1
2.696382875E0;4.240681458E-1;3.419938202E0;9.594148865E0;1.019428779E1
2.706439875E0;4.752616882E-1;3.399430847E0;9.493258667E0;1.009474932E1
2.716496875E0;4.400848389E-1;3.536096649E0;9.451495514E0;1.010091192E1
2.726553875E0;4.228706360E-1;3.714525604E0;9.399403839E0;1.011559749E1
2.736610875E0;4.349954224E-1;3.751349030E0;9.313033447E0;1.004959863E1
2.746667875E0;3.975732422E-1;3.788920898E0;9.276659088E0;1.002847894E1
2.756724875E0;4.351451111E-1;3.925287323E0;9.303004303E0;1.010658799E1
2.766781875E0;6.144721985E-1;3.975732422E0;9.382938080E0;1.020899365E1
2.776838875E0;8.475375366E-1;4.004322968E0;9.544901276E0;1.038547364E1
2.786895875E0;1.075214081E0;4.087699585E0;9.649234314E0;1.053437687E1
2.796952875E0;1.235680389E0;4.199217682E0;9.711654510E0;1.065253812E1
2.807009875E0;1.376537476E0;4.309089203E0;9.720186768E0;1.072124694E1
2.817066875E0;1.381626892E0;4.285139008E0;9.576784973E0;1.058234944E1
2.827123875E0;1.242715759E0;4.274211731E0;9.447902985E0;1.044395036E1
2.837181875E0;8.581654358E-1;4.276756439E0;9.429790649E0;1.038980487E1
2.847238875E0;5.049000549E-1;4.239483948E0;9.429491272E0;1.035101221E1
2.857295875E0;4.047583008E-1;4.202211456E0;9.464368744E0;1.036323724E1
2.867352875E0;5.267546082E-1;4.255650330E0;9.604477386E0;1.051827058E1
2.877409875E0;8.493338013E-1;4.388424225E0;9.735754395E0;1.071282170E1
2.887466875E0;1.172212372E0;4.469854889E0;9.777367859E0;1.081437038E1
2.897523875E0;1.292412415E0;4.470004578E0;9.725575562E0;1.078137704E1
2.907580375E0;1.265917511E0;4.458927612E0;9.505383453E0;1.057529655E1
2.917637375E0;1.169068909E0;4.486919403E0;9.179361420E0;1.028396052E1
2.927694375E0;9.877958679E-1;4.479734344E0;8.909772034E0;1.002136708E1
2.937751375E0;7.893086243E-1;4.484075317E0;8.717571716E0;9.834937528E0
2.947808375E0;6.164181519E-1;4.534520416E0;8.617879028E0;9.757545065E0
2.957865375E0;6.391708374E-1;4.575086060E0;8.655450897E0;9.811054074E0
2.967922375E0;8.244854736E-1;4.623884583E0;8.724158020E0;9.908128889E0
2.977979375E0;1.033001862E0;4.729265442E0;8.670719147E0;9.930479092E0
2.988036375E0;1.148860931E0;4.835095367E0;8.404273224E0;9.763699968E0
2.998093375E0;1.187779999E0;4.865482178E0;7.981701965E0;9.422913796E0
3.008150375E0;1.075363770E0;4.943170624E0;7.627239075E0;9.152383239E0
3.018207375E0;1.027762756E0;4.989574127E0;7.413483582E0;8.995103394E0
3.028264375E0;1.012494507E0;5.099146271E0;7.458090820E0;9.091180149E0
3.038321375E0;8.458909607E-1;5.154680786E0;7.732769623E0;9.331773227E0
3.048378375E0;6.409671021E-1;5.135221252E0;8.141868896E0;9.647350168E0
3.058435375E0;4.956193542E-1;5.114264832E0;8.503816223E0;9.935604343E0
3.068492375E0;4.677772522E-1;5.185067596E0;8.652008057E0;1.009757322E1
3.078549375E0;6.792874146E-1;5.303171997E0;8.492739258E0;1.003552115E1
3.088606375E0;9.407936096E-1;5.401966553E0;8.107141113E0;9.787342453E0
3.098663375E0;1.073717194E0;5.506449280E0;7.751929779E0;9.569026470E0
3.108721375E0;1.001567230E0;5.606890411E0;7.557035065E0;9.463040525E0
3.118778375E0;8.607101440E-1;5.657784576E0;7.547754364E0;9.472061244E0
3.128835375E0;8.740324402E-1;5.737568665E0;7.544461212E0;9.518535700E0
3.138892375E0;1.127455444E0;5.870492249E0;7.543563080E0;9.624924881E0
3.148949375E0;1.423240356E0;5.995182953E0;7.508386230E0;9.713068286E0
3.159006375E0;1.500779114E0;6.074967041E0;7.500602417E0;9.768142050E0
3.169063375E0;1.423839111E0;6.066434784E0;7.405400391E0;9.678269667E0
3.179120375E0;1.159638519E0;6.077511749E0;7.392976227E0;9.640384227E0
3.189177375E0;8.825646973E-1;6.103407898E0;7.384893036E0;9.621182545E0
3.199234375E0;8.497828674E-1;6.148464203E0;7.254065094E0;9.547104449E0
3.209291375E0;9.192384338E-1;6.145919495E0;7.122488708E0;9.452363257E0
3.219348375E0;1.057401123E0;6.181545410E0;7.059619446E0;9.442871783E0
3.229405375E0;1.300196228E0;6.206693115E0;6.948251038E0;9.407004951E0
3.239462375E0;1.417103119E0;6.260281677E0;6.747967529E0;9.313129104E0
3.249519375E0;1.369651794E0;6.399941254E0;6.654412079E0;9.333616352E0
3.259576375E0;1.146914978E0;6.488556976E0;6.636150055E0;9.351752411E0
3.269633375E0;1.019230499E0;6.683451691E0;6.581663361E0;9.435340476E0
3.279690375E0;9.824070740E-1;6.870412903E0;6.501280518E0;9.509697444E0
3.289747375E0;1.030756531E0;6.938820648E0;6.455924835E0;9.533554242E0
3.299804375E0;1.113534393E0;6.975045319E0;6.470294952E0;9.578931716E0
3.309861375E0;1.190474396E0;7.015610962E0;6.637497253E0;9.731001811E0
3.319918375E0;1.347797241E0;7.073989563E0;6.821464691E0;9.919186775E0
3.329975375E0;1.426533508E0;7.175328827E0;7.060667267E0;1.016726924E1
